1-2-12-240	Halugama
1-2-12-245	Siyambalagoda
1-2-12-250	Pahala Lindara
1-2-12-255	Pohonnaruwa
1-2-12-260	Indiparape
1-2-12-265	Kosetadeniya
1-2-12-270	Imbulanwala
1-2-12-275	Uduulla
1-2-12-280	Gaspe
1-2-12-285	Banduragoda
1-2-12-290	Keppitiwalana
1-2-12-295	Gaspe Pahalagama
1-2-12-300	Galgana
1-2-12-305	Pelapitigama
1-2-12-310	Elhena
1-2-12-315	Ganegoda
1-2-12-320	Hiriwala
1-2-12-325	Handurumulla
1-2-12-330	Pamunuwatta
1-2-12-335	Ihala Lindara
1-2-12-340	Arukgoda
1-2-12-345	Madabavita
1-2-12-350	Madabavita Ihalagama
1-2-12-355	Nawgala
1-2-12-360	Danovita
1-2-12-365	Weweldeniya Pahalagama
1-2-12-370	Weweldeniya Pahalagama West
1-2-12-375	Henepola
1-2-12-380	Palmada
1-2-12-385	Kal /Pallewela, Kotakanda
1-2-12-390	Raddelgoda
1-2-12-395	Ihala Bokalagama
1-2-12-400	Pahala Bokalagama
1-2-12-405	Kukulnape
1-2-12-410	Gaspe South
1-2-12-415	Muddaragama
1-2-12-420	Hanchapola
1-2-12-425	Hirikuluwa,Ganemulla,Dathgama
1-2-12-430	Pathagama
1-2-12-435	Borukgamuwa West
1-2-12-440	Borukgamuwa
1-2-12-445	Pallewela
1-2-12-450	Weragoda / Kakkele
1-2-12-455	Hansagiriya
1-2-12-460	Welavilamulla North
1-2-12-465	Welavilamulla
